Fecha,Tipo,Algoritmo,Cantidad,Tiempo
2026-05-21 02:17:56,EXTERNO,Mezcla Directa,7,0.001229
2026-05-21 02:17:59,EXTERNO,Intercalacion,7,0.001068
2026-05-21 02:18:03,EXTERNO,Equilibrada,7,0.001111
2026-05-21 02:18:04,EXTERNO,Polifase,7,0.001115
2026-05-21 02:20:13,INTERNO,Bubble Sort,15,1.346509
2026-05-21 02:20:22,INTERNO,Selection Sort,7,1.557053
2026-05-21 02:20:24,INTERNO,Shell Sort,7,1.070674
2026-05-21 02:22:11,INTERNO,Selection Sort,7,1.276101
2026-05-21 02:22:13,INTERNO,Quick Sort,7,1.035146
2026-05-21 02:31:01,INTERNO,Bubble Sort,7,1.537913
2026-05-21 02:31:05,INTERNO,Insertion Sort,7,1.252671
2026-05-21 02:38:44,BENCHMARK,Bubble Sort,1000,0.034836
2026-05-21 02:38:44,BENCHMARK,Selection Sort,1000,0.014697
2026-05-21 02:38:44,BENCHMARK,Insertion Sort,1000,0.017666
2026-05-21 02:38:44,BENCHMARK,Quick Sort,1000,0.000112
2026-05-21 02:38:44,BENCHMARK,Heap Sort,1000,0.000088
2026-05-21 02:38:44,BENCHMARK,Shell Sort,1000,0.000053
2026-05-21 02:38:44,BENCHMARK,Radix Sort,1000,0.000077
2026-05-21 02:42:02,BENCHMARK,Bubble Sort,100,0.000372
2026-05-21 02:42:02,BENCHMARK,Selection Sort,100,0.000201
2026-05-21 02:42:02,BENCHMARK,Insertion Sort,100,0.000192
2026-05-21 02:42:02,BENCHMARK,Quick Sort,100,0.000013
2026-05-21 02:42:02,BENCHMARK,Heap Sort,100,0.000009
2026-05-21 02:42:02,BENCHMARK,Shell Sort,100,0.000011
2026-05-21 02:42:02,BENCHMARK,Radix Sort,100,0.000011
2026-05-21 02:42:15,BENCHMARK,Bubble Sort,10000,3.734937
2026-05-21 02:42:17,BENCHMARK,Selection Sort,10000,1.495965
2026-05-21 02:42:19,BENCHMARK,Insertion Sort,10000,2.055428
2026-05-21 02:42:19,BENCHMARK,Quick Sort,10000,0.001262
2026-05-21 02:42:19,BENCHMARK,Heap Sort,10000,0.001233
2026-05-21 02:42:19,BENCHMARK,Shell Sort,10000,0.001206
2026-05-21 02:42:19,BENCHMARK,Radix Sort,10000,0.001206
2026-05-21 02:42:31,BENCHMARK,Bubble Sort,999,0.037792
2026-05-21 02:42:31,BENCHMARK,Selection Sort,999,0.015307
2026-05-21 02:42:31,BENCHMARK,Insertion Sort,999,0.018557
2026-05-21 02:42:31,BENCHMARK,Quick Sort,999,0.000086
2026-05-21 02:42:31,BENCHMARK,Heap Sort,999,0.000068
2026-05-21 02:42:31,BENCHMARK,Shell Sort,999,0.000080
2026-05-21 02:42:31,BENCHMARK,Radix Sort,999,0.000079
2026-05-21 02:55:56,BENCHMARK,Bubble Sort,1000,0.036804
2026-05-21 02:55:56,BENCHMARK,Selection Sort,1000,0.015098
2026-05-21 02:55:56,BENCHMARK,Insertion Sort,1000,0.019066
2026-05-21 02:55:56,BENCHMARK,Quick Sort,1000,0.000091
2026-05-21 02:55:56,BENCHMARK,Heap Sort,1000,0.000062
2026-05-21 02:55:56,BENCHMARK,Shell Sort,1000,0.000057
2026-05-21 02:55:56,BENCHMARK,Radix Sort,1000,0.000054
2026-05-21 03:03:19,INTERNO,Bubble Sort,2,1.961156
2026-05-21 03:14:13,INTERNO,Bubble Sort,6,1.674197
2026-05-21 03:14:46,EXTERNO,Mezcla Directa,55,0.252691
2026-05-21 03:14:48,EXTERNO,Intercalacion,55,0.009352
2026-05-21 03:14:48,EXTERNO,Equilibrada,55,0.007339
2026-05-21 03:14:49,EXTERNO,Polifase,55,0.007067
2026-05-21 03:16:03,BENCHMARK,Bubble Sort,1000,0.035120
2026-05-21 03:16:03,BENCHMARK,Selection Sort,1000,0.015102
2026-05-21 03:16:03,BENCHMARK,Insertion Sort,1000,0.018685
2026-05-21 03:16:03,BENCHMARK,Quick Sort,1000,0.000097
2026-05-21 03:16:03,BENCHMARK,Heap Sort,1000,0.000076
2026-05-21 03:16:03,BENCHMARK,Shell Sort,1000,0.000086
2026-05-21 03:16:03,BENCHMARK,Radix Sort,1000,0.000061
2026-05-21 03:17:20,EXTERNO,Mezcla Directa,6,0.000391
2026-05-21 03:17:24,EXTERNO,Equilibrada,6,0.000341
2026-05-21 03:17:27,EXTERNO,Polifase,6,0.000300
2026-05-21 03:17:29,EXTERNO,Intercalacion,6,0.000297
2026-05-21 03:17:29,EXTERNO,Mezcla Directa,6,0.000346
2026-05-21 03:22:51,EXTERNO,Mezcla Directa,6,0.000398
2026-05-21 03:22:54,EXTERNO,Intercalacion,6,0.000317
2026-05-21 03:22:55,EXTERNO,Equilibrada,6,0.000364
2026-05-21 03:23:01,EXTERNO,Mezcla Directa,7,0.000424
2026-05-21 03:23:02,EXTERNO,Intercalacion,7,0.000294
2026-05-21 03:23:03,EXTERNO,Intercalacion,7,0.000338
2026-05-21 03:23:03,EXTERNO,Equilibrada,7,0.000373
2026-05-21 12:28:07,INTERNO,Bubble Sort,55,29.480107
2026-05-21 12:34:20,INTERNO,Bubble Sort,55,2.563325
